fam_id,gene_name,dn,ds
Fam_315488,GUT_GENOME225793_00302,0.1062,0.0823
Fam_310272,GUT_GENOME056618_01541,0.103543,0.158371
Fam_490638,GUT_GENOME124577_01659,0.01326,0.07274
Fam_436764,GUT_GENOME065347_00979,0.0028,0.06055
Fam_207935,GUT_GENOME226798_01068,0.0421824,0.0151353
Fam_137754,GUT_GENOME188326_00230,0.016025,0.168475
Fam_34953,GUT_GENOME238437_00729,0.031,0.0629
Fam_2387,GUT_GENOME226291_00723,0.133944,0.0918556
Fam_594563,GUT_GENOME283403_00748,0.0316,0.303
Fam_114269,GUT_GENOME198693_02334,0.0263667,0.0506333
Fam_24562,GUT_GENOME012340_00376,0.0323,0.1648
Fam_20924,GUT_GENOME123616_00796,0.054,0.0368
Fam_603383,GUT_GENOME203362_00134,0.0125059,0.0139353
Fam_507559,GUT_GENOME021881_00663,0.034175,0.025
Fam_18368,GUT_GENOME157217_01076,0.0071,0.0225
Fam_466745,GUT_GENOME028340_00046,0.0079,0.0471
Fam_32152,GUT_GENOME208129_01065,0.0663,0.0891
Fam_571029,GUT_GENOME114278_00248,0.0393838,0.07179
Fam_482357,GUT_GENOME213358_00038,0.048125,0.454725
Fam_351855,GUT_GENOME279699_01037,0.00933333,0.0188667
Fam_500485,GUT_GENOME219799_01101,0.0113,0.0196
Fam_576275,GUT_GENOME029221_01299,0.0398,0.0522
Fam_424510,GUT_GENOME013701_00656,0.0209133,0.0536489
Fam_536042,GUT_GENOME015013_00616,0,0.0255
Fam_275864,GUT_GENOME093315_00478,0.0578667,0.0935667
Fam_594955,GUT_GENOME225383_00762,0.0031,0.0239
Fam_358519,GUT_GENOME160117_01152,0.169567,0.303367
Fam_404672,GUT_GENOME147429_05540,0.0168,0.0302
Fam_552013,GUT_GENOME051494_00800,0.01004,0.05834
Fam_143848,GUT_GENOME015832_00814,0.00207778,0.0197333
Fam_133892,GUT_GENOME031786_00784,0.0085,0.5089
Fam_175199,GUT_GENOME209220_01784,0.0254818,0.153539
Fam_68705,GUT_GENOME090023_00564,0,0.0354
Fam_242776,GUT_GENOME283276_01963,0.1918,0.3439
Fam_130541,GUT_GENOME217575_00636,0.0065,0.01
Fam_7089,GUT_GENOME260268_02420,0.0106083,0.00834167
Fam_480330,GUT_GENOME134328_00352,0.0236857,0.155586
Fam_241352,GUT_GENOME158573_01918,0.027,0.2368
Fam_194601,GUT_GENOME018912_00121,0.12345,0.14252
Fam_565879,GUT_GENOME028535_01513,0.00570897,0.266237
Fam_180490,GUT_GENOME131346_01303,0.0447444,0.0419778
Fam_268231,GUT_GENOME007604_01064,0.107,0.0579
Fam_529737,GUT_GENOME095592_03969,0.1074,0.1819
Fam_32442,GUT_GENOME247810_00700,0.208955,0.184797
Fam_408082,GUT_GENOME036695_01280,0.1009,0.0908
Fam_399814,GUT_GENOME214130_02073,0.1574,0.1057
Fam_123386,GUT_GENOME022318_01399,0.0218795,0.109511
Fam_398770,GUT_GENOME114331_01115,0,0.0956
Fam_339062,GUT_GENOME005059_00070,0.0322,0.0775
Fam_305347,GUT_GENOME273594_00251,0,0.041
Fam_545862,GUT_GENOME030174_02854,0.047,0.0252
Fam_107339,GUT_GENOME124108_00667,0.034,0.0288
Fam_421476,GUT_GENOME015793_01196,0.0222667,0.0548867
Fam_497321,GUT_GENOME238366_01367,0.0187667,0.0753167
Fam_74856,GUT_GENOME027721_01878,0.00213333,0.0168
Fam_431484,GUT_GENOME080526_01259,0.0213,0.0146
Fam_310351,GUT_GENOME261169_01833,0.0351,0.0502
Fam_292184,GUT_GENOME004671_00292,0.00737222,0.0292
Fam_305483,GUT_GENOME133031_00448,0,0.0421
Fam_454869,GUT_GENOME002398_02645,0.0043,0.0802
Fam_431373,GUT_GENOME160869_03702,0.0849,0.0983
Fam_24485,GUT_GENOME115925_01585,0.0130552,0.03255
Fam_521091,GUT_GENOME159420_00860,0.0238,0.1118
Fam_183101,GUT_GENOME263364_03263,0.18435,0.1572
Fam_284600,GUT_GENOME067902_00056,0.00176667,0.0389667
Fam_591203,GUT_GENOME142594_02122,0.00305,0.07545
Fam_379267,GUT_GENOME234746_01179,0.0253039,0.0142804
Fam_136344,GUT_GENOME113734_01704,0.231968,0.151299
Fam_24750,GUT_GENOME114261_01634,0.01725,0.039
Fam_150823,GUT_GENOME235282_01709,0.072025,0.112757
Fam_346119,GUT_GENOME199841_01674,0.0131542,0.08805
Fam_364548,GUT_GENOME004816_01242,0.03346,0.03634
Fam_348301,GUT_GENOME273327_00563,0.0184,0.0927
Fam_522305,GUT_GENOME237467_01655,0.0321429,0.0305714
Fam_128346,GUT_GENOME215177_00129,0.0232538,0.0932997
Fam_309558,GUT_GENOME026098_00791,0.0554333,0.2173
Fam_59484,GUT_GENOME240121_01542,0.0116,0.06595
Fam_331887,GUT_GENOME266938_02142,0.0037,0.0409
Fam_11972,GUT_GENOME045216_00514,0.04436,0.04638
Fam_279967,GUT_GENOME273111_00699,0.0533,0.1423
Fam_585925,GUT_GENOME007358_02087,0,0.1407
Fam_466875,GUT_GENOME073490_01355,0.0231,0.0392
Fam_418474,GUT_GENOME143414_03012,0.0148,0.0522
Fam_558414,GUT_GENOME272469_00419,0.0152875,0.0175875
Fam_391380,GUT_GENOME073113_00566,0.0834333,0.069
Fam_486269,GUT_GENOME011337_03234,0.053,0.0134
Fam_99441,GUT_GENOME270944_02448,0.0033,0.0592
Fam_534079,GUT_GENOME222175_02193,0,0.0051
Fam_256752,GUT_GENOME236052_00017,0.2354,0.514367
